ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u147	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u148	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Grims, Branko	M	1962
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u149	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u150	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	NSi	Nova Slovenija – Krščanski demokrati	Opposition	Lah, Zvonko	M	1958
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u151	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u152	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Pojbič, Marijan	M	1961
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u153	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u154	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	NSi	Nova Slovenija – Krščanski demokrati	Opposition	Horvat, Jožef	M	1955
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u155	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u156	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Breznik, Franc	M	1970
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u157	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u158	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Lisec, Tomaž	M	1978
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u159	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u160	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	notMP				Strniša, Tanja	F	-
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u161	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
