ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u149	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u150	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Jurša, Franc	M	1953
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u151	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u152	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Bah Žibert, Anja	F	1973
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u153	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u154	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SMC	Stranka Mira Cerarja	Coalition	Zorman, Branko	M	1970
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u155	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u156	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u157	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u158	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SMC	Stranka Mira Cerarja	Coalition	Zorman, Branko	M	1970
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u159	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u160	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u161	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u162	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SMC	Stranka Mira Cerarja	Coalition	Brglez, Milan	M	1967
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u163	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u164	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Podkrajšek, Bojan	M	1968
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u165	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
